# Z80 opcode table
#  Original data from the FUSE emulator (fuse-emulator.sf.net)
#  Adapted for SPASM by Donald Straney 5/6/2007 with much help from GNU sed

# Column order:
# 1. Opcode
# 2. Args
# 3. Opcode data
# 4. Extra data (optional)
#        If the arguments contain a bit number (^), this is or'ed with
#        the shifted bit number, which is added to the end of the args.
#        Otherwise, this is written after all the other opcode and arg data.

# Special args:
# "" = no args
# * = 16-bit number
# & = 8-bit number
# % = 8-bit address offset
# @ = 8-bit +/- IX/IY offset
# ^ = bit number (0-7)


NOP ""   00
LD SP,HL   F9
LD A,I  57ED
LD A,R  5FED
IN A,(C)  78ED
OUT (C),A  79ED
LD IXH,B  60DD
LD IYH,B  60FD
LD IXH,C  61DD
LD IYH,C  61FD
LD IXH,D  62DD
LD IYH,D  62FD
LD IXH,E  63DD
LD IYH,E  63FD
LD IXH,IXH  64DD
LD IYH,IYH  64FD
LD IXH,IXL  65DD
LD IYH,IYL  65FD
LD H,(IX@)  66DD
LD H,(IY@)  66FD
LD IXH,A  67DD
LD IYH,A  67FD
LD IXL,B  68DD
LD IYL,B  68FD
LD IXL,C  69DD
LD IYL,C  69FD
RES E,^,(IY@)  CBFD  83
RES H,^,(IX@)  CBDD  84
RES H,^,(IY@)  CBFD  84
RES L,^,(IX@)  CBDD  85
RES L,^,(IY@)  CBFD  85
RES ^,(IX@) CBDD  86
RES ^,(IY@) CBFD  86
RES A,^,(IX@)  CBDD  87
RES A,^,(IY@)  CBFD  87
SET B,^,(IX@)  CBDD  C0
SET B,^,(IY@)  CBFD  C0
SET C,^,(IX@)  CBDD  C1
SET C,^,(IY@)  CBFD  C1
SET D,^,(IX@)  CBDD  C2
SET D,^,(IY@)  CBFD  C2
SET E,^,(IX@)  CBDD  C3
SET E,^,(IY@)  CBFD  C3
SET H,^,(IX@)  CBDD  C4
SET H,^,(IY@)  CBFD  C4
SET L,^,(IX@)  CBDD  C5
SET L,^,(IY@)  CBFD  C5
SET ^,(IX@) CBDD  C6
SET ^,(IY@) CBFD  C6
SET A,^,(IX@)  CBDD  C7
SET A,^,(IY@)  CBFD  C7
ADD IX,BC  09DD
ADD IY,BC  09FD
ADD IX,DE  19DD
ADD IY,DE  19FD
LD (*),IX  22DD
LD (*),IY  22FD
INC IX  23DD
INC IY  23FD
INC IXH  24DD
INC IYH  24FD
DEC IXH  25DD
DEC IYH  25FD
LD IXH,&  26DD
LD IYH,&  26FD
ADD IX,IX  29DD
ADD IY,IY  29FD
LD IX,(*)  2ADD
LD IY,(*)  2AFD
DEC IX  2BDD
DEC IY  2BFD
INC IXL  2CDD
INC IYL  2CFD
DEC IXL  2DDD
DEC IYL  2DFD
LD IXL,&  2EDD
LD IYL,&  2EFD
INC (IX@)  34DD
INC (IY@)  34FD
DEC (IX@)  35DD
DEC (IY@)  35FD
ADD IX,SP  39DD
ADD IY,SP  39FD
LD B,IXH  44DD
LD B,IYH  44FD
LD B,IXL  45DD
LD B,IYL  45FD
LD B,(IX@)  46DD
LD B,(IY@)  46FD
LD C,IXH  4CDD
LD C,IYH  4CFD
LD C,IXL  4DDD
LD C,IYL  4DFD
LD C,(IX@)  4EDD
LD C,(IY@)  4EFD
LD D,IXH  54DD
LD D,IYH  54FD
LD D,IXL  55DD
LD D,IYL  55FD
LD D,(IX@)  56DD
LD D,(IY@)  56FD
LD E,IXH  5CDD
LD E,IYH  5CFD
LD E,IXL  5DDD
LD E,IYL  5DFD
LD E,(IX@)  5EDD
LD E,(IY@)  5EFD
LD (IX@),B  70DD
LD (IY@),B  70FD
LD (IX@),C  71DD
LD (IY@),C  71FD
LD (IX@),D  72DD
LD (IY@),D  72FD
LD (IX@),E  73DD
LD (IY@),E  73FD
LD (IX@),H  74DD
LD (IY@),H  74FD
LD (IX@),L  75DD
LD (IY@),L  75FD
LD (IX@),A  77DD
LD (IY@),A  77FD
LD A,IXH  7CDD
LD A,IYH  7CFD
LD A,IXL  7DDD
LD A,IYL  7DFD
LD A,(IX@)  7EDD
LD A,(IY@)  7EFD
ADD A,IXH  84DD
ADD A,IYH  84FD
ADD A,IXL  85DD
ADD A,IYL  85FD
ADD A,(IX@)  86DD
ADD A,(IY@)  86FD
ADC A,IXH  8CDD
ADC A,IYH  8CFD
ADC A,IXL  8DDD
ADC A,IYL  8DFD
ADC A,(IX@)  8EDD
ADC A,(IY@)  8EFD
SUB IXH  94DD
SUB IYH  94FD
SUB IXL  95DD
SUB IYL  95FD
SUB (IX@)  96DD
SUB (IY@)  96FD
SBC A,IXH  9CDD
SBC A,IYH  9CFD
SBC A,IXL  9DDD
SBC A,IYL  9DFD
SBC A,(IX@)  9EDD
SBC A,(IY@)  9EFD
AND IXH  A4DD
AND IYH  A4FD
AND IXL  A5DD
AND IYL  A5FD
AND (IX@)  A6DD
AND (IY@)  A6FD
XOR IXH  ACDD
XOR IYH  ACFD
XOR IXL  ADDD
XOR IYL  ADFD
XOR (IX@)  AEDD
XOR (IY@)  AEFD
OR IXH  B4DD
OR IYH  B4FD
OR IXL  B5DD
OR IYL  B5FD
OR (IX@)  B6DD
OR (IY@)  B6FD
CP IXH  BCDD
CP IYH  BCFD
CP IXL  BDDD
CP IYL  BDFD
CP (IX@)  BEDD
CP (IY@)  BEFD
LD (IX@),&  36DD
LD (IY@),&  36FD
POP IX  E1DD
POP IY  E1FD
EX (SP),IX  E3DD
EX (SP),IY  E3FD
PUSH IX  E5DD
PUSH IY  E5FD
JP (IX)  E9DD
JP (IY)  E9FD
LD SP,IX  F9DD
LD SP,IY  F9FD
LD B,B   40
LD B,C   41
LD B,D   42
LD B,E   43
LD B,H   44
LD B,L   45
LD B,(HL)   46
LD B,A   47
LD C,B   48
LD C,C   49
LD C,D   4A
LD C,E   4B
LD C,H   4C
LD C,L   4D
LD C,(HL)   4E
LD C,A   4F
LD D,B   50
LD D,C   51
LD D,D   52
LD D,E   53
LD D,H   54
LD D,L   55
LD D,(HL)   56
LD D,A   57
LD E,B   58
LD E,C   59
LD E,D   5A
LD E,E   5B
